emp_ID,dept_ID,job_level,gender,ethnicity,education,disability,age_group,years_at_org,salary,fte
65,5,3,M,White,PhD,None,35-44,4.16,64,1
66,5,3,M,White,Undergrad,None,45-54,5.7,74,1
67,5,3,M,White,Undergrad,None,45-54,5.65,64,1
68,5,3,M,White,Undergrad,None,55-64,2.44,64,1
69,5,3,M,White,Postgrad,None,65+,13.55,66,1
70,5,3,M,White,Undergrad,None,25-34,5.19,59,1
71,5,3,M,White,Undergrad,None,55-64,8.97,59,1
72,5,3,M,White,Undergrad,None,35-44,5.39,64,1
73,5,3,M,White,Undergrad,None,55-64,5.69,81,1
74,6,3,M,White,PhD,None,35-44,2.75,106,1
75,6,3,M,White,Undergrad,None,35-44,2.33,61,1
76,6,3,M,White,Undergrad,None,35-44,7.97,89,1
77,6,3,M,White,Undergrad,None,25-34,1.68,81,1
78,6,3,M,White,Undergrad,None,45-54,4.52,82,1
79,6,3,M,White,Undergrad,None,25-34,1.04,102,1
80,6,3,M,White,Undergrad,None,25-34,5.63,106,1
81,6,3,M,Black / African / Caribbean / Black British,Undergrad,None,45-54,4.61,110,1
82,6,3,M,White,Undergrad,None,25-34,5.82,79,1
83,6,3,M,White,Undergrad,None,35-44,2.64,75,1
84,6,3,M,White,Postgrad,None,35-44,0.88,104,1
85,6,3,M,White,PhD,None,45-54,7.89,89,1
86,6,3,M,White,Undergrad,None,35-44,3.55,73,1
87,6,3,M,White,Undergrad,None,35-44,1.17,84,1
88,6,3,M,White,Undergrad,None,35-44,9.43,98,1
89,6,3,M,White,Undergrad,None,25-34,3.28,86,1
90,6,3,F,White,PhD,None,45-54,3.16,88,1
91,6,3,M,Asian / Asian British,Undergrad,None,25-34,5.08,84,1
92,6,3,M,White,Undergrad,None,45-54,8.07,87,1
93,7,3,M,White,Undergrad,None,35-44,13.96,113,1
94,7,3,M,White,Undergrad,None,25-34,1.37,116,1
95,7,3,M,White,Undergrad,None,35-44,5.93,128,1
96,7,3,M,White,Undergrad,None,35-44,3.52,92,1
97,7,3,F,White,Undergrad,None,45-54,5.53,85,1
98,7,3,F,White,Undergrad,None,35-44,6.74,96,1
99,7,3,M,White,Undergrad,None,25-34,4.98,112,1
100,7,3,M,White,Undergrad,None,25-34,3.1,115,1
101,7,3,M,White,Undergrad,None,35-44,3.69,91,1
102,7,3,M,White,Postgrad,None,45-54,10.44,107,1
103,7,3,M,White,Undergrad,None,25-34,5.18,103,1
104,7,3,M,White,Postgrad,None,45-54,3.8,116,1
105,7,3,M,White,Undergrad,None,35-44,1.78,93,1
106,7,3,M,White,Undergrad,None,35-44,6.52,86,1
107,7,3,M,White,Undergrad,None,25-34,5.53,96,1
108,7,3,M,White,PhD,None,35-44,6.97,86,1
109,7,3,M,White,PhD,None,25-34,4.91,110,1
110,7,3,M,White,Undergrad,None,35-44,4.33,100,1
111,7,3,M,White,Postgrad,None,55-64,13.78,91,1
112,7,3,M,Mixed / Multiple ethnic groups,Undergrad,None,45-54,19.12,91,1
113,8,3,M,White,Postgrad,None,25-34,5.49,70,1
114,8,3,F,White,Postgrad,None,35-44,3.62,79,1
115,8,3,M,White,Undergrad,None,55-64,7.84,76,0.7
116,8,3,F,White,Postgrad,None,55-64,5.07,84,1
117,8,3,M,White,Undergrad,None,55-64,9.87,99,1
118,8,3,M,White,Undergrad,None,55-64,10.9,85,1
119,8,3,M,White,Undergrad,None,55-64,6.88,74,1
120,8,3,M,White,Undergrad,None,25-34,3.01,95,1
121,8,3,F,White,Undergrad,None,45-54,1.54,80,1
122,8,3,M,White,Undergrad,None,25-34,2.49,87,1
123,8,3,M,White,Undergrad,None,55-64,7.36,95,1
124,9,3,M,White,Undergrad,None,25-34,5.77,86,1
125,9,3,M,White,Undergrad,None,55-64,6.91,58,1
126,9,3,M,White,Undergrad,None,55-64,3.15,81,1
127,9,3,M,White,Postgrad,None,55-64,16.38,76,1
128,9,3,F,White,Undergrad,None,45-54,5.48,98,1
129,9,3,M,White,Undergrad,None,35-44,7.58,71,1
130,9,3,M,White,Undergrad,None,55-64,10.7,71,1
131,9,3,M,White,Undergrad,None,55-64,2.08,70,1
132,9,3,M,White,Postgrad,None,<25,2.91,88,1
133,9,3,M,White,Postgrad,None,35-44,1.65,97,1
134,9,3,M,White,PhD,None,55-64,15.36,75,1
135,9,3,PN,White,Undergrad,None,35-44,5.11,97,1
136,10,2,M,White,Undergrad,None,55-64,4.71,80,1
137,10,2,M,White,Undergrad,None,35-44,2.48,72,1
138,10,2,F,White,Postgrad,None,45-54,11.11,69,1
139,10,2,M,White,Postgrad,None,55-64,4.81,78,1
140,10,2,F,Asian / Asian British,Undergrad,None,35-44,6.31,15,0.2
141,10,2,M,Black / African / Caribbean / Black British,Undergrad,None,55-64,5.28,88,1
142,10,2,F,White,PhD,None,35-44,4.82,79,1
143,10,2,M,White,Undergrad,None,35-44,8.2,61,1
144,10,2,M,White,Undergrad,None,25-34,5.75,86,1
145,10,2,M,White,Undergrad,None,35-44,7.28,76,1
146,10,2,M,Asian / Asian British,Postgrad,None,25-34,1.64,52,1
147,10,2,F,White,Undergrad,None,55-64,7.23,16,0.3
148,10,2,M,White,Undergrad,None,35-44,2.61,69,1
149,10,2,M,White,Undergrad,None,<25,2.42,59,1
150,10,2,M,White,Undergrad,None,55-64,4.55,15,0.2
151,10,2,F,White,Undergrad,None,25-34,4.85,67,1
152,11,2,F,White,No degree,None,<25,1.87,56,1
153,11,2,F,White,Undergrad,None,35-44,6.23,56,1
154,11,2,M,Asian / Asian British,Undergrad,None,35-44,1.82,58,1
155,11,2,F,Asian / Asian British,Undergrad,None,35-44,7.78,78,1
156,11,2,F,White,Undergrad,None,35-44,1.65,61,1
157,11,2,M,White,Undergrad,None,35-44,4.48,57,1
158,11,2,M,White,No degree,None,55-64,8.57,55,1
159,11,2,PN,White,Undergrad,None,45-54,6.96,10,0.2
160,11,2,F,White,Undergrad,None,25-34,2.78,22,0.4
161,11,2,M,White,No degree,Intellectual disability,35-44,4.55,48,1
162,11,2,F,Asian / Asian British,No degree,None,25-34,1.23,51,1
163,11,2,M,White,Undergrad,None,25-34,5.3,57,0.8
164,11,2,F,White,Undergrad,None,35-44,13.96,46,0.8
165,12,2,PN,White,No degree,None,35-44,2.91,18,0.3
166,12,2,F,White,No degree,None,25-34,1.97,54,1
167,12,2,F,White,No degree,None,45-54,3.87,50,0.8
168,12,2,M,White,No degree,None,<25,1.41,50,1
169,12,2,M,White,Undergrad,None,45-54,4.01,66,1
170,12,2,F,Asian / Asian British,Undergrad,None,35-44,2.46,45,0.8
171,12,2,M,White,Undergrad,None,45-54,12.2,11,0.2
172,12,2,F,White,Undergrad,None,45-54,3.45,47,0.8
173,12,2,F,White,Undergrad,None,35-44,6.09,67,1
174,12,2,F,White,Undergrad,Acquired brain injury,25-34,3.27,58,1
175,12,2,F,White,Undergrad,None,45-54,10.67,58,1
176,12,2,F,White,Undergrad,None,35-44,9.92,54,1
177,12,2,M,Black / African / Caribbean / Black British,No degree,None,35-44,6.13,56,1
178,12,2,M,White,Undergrad,None,35-44,3.07,51,1
179,13,2,F,White,No degree,None,35-44,4.3,9,0.2
180,13,2,F,White,No degree,None,35-44,2.95,43,1
181,13,2,F,White,Undergrad,None,35-44,2.67,41,1
182,13,2,F,White,Undergrad,None,35-44,3.44,36,0.8
183,13,2,M,White,No degree,None,35-44,3.8,59,1
184,13,2,M,White,Undergrad,None,25-34,2.88,45,1
185,13,2,F,White,No degree,None,35-44,3.38,48,1
186,13,2,F,White,Undergrad,None,35-44,0.88,39,1
187,13,2,F,Black / African / Caribbean / Black British,Undergrad,None,35-44,5.24,14,0.3
188,13,2,F,White,No degree,None,25-34,3.8,32,0.7
189,13,2,F,White,Undergrad,None,35-44,4.48,9,0.2
190,13,2,F,White,Undergrad,None,25-34,3.01,23,0.5
191,13,2,F,White,Undergrad,None,35-44,2.8,38,1
192,13,2,F,White,Postgrad,None,35-44,8.96,59,1
193,14,2,F,White,Undergrad,Mental health conditions,35-44,5.16,53,1
194,14,2,F,White,Undergrad,None,45-54,6.28,65,1
195,14,2,M,White,No degree,None,35-44,3.2,53,1
196,14,2,M,White,Undergrad,None,45-54,6.25,63,1
197,14,2,M,White,Undergrad,None,55-64,10.92,59,1
198,14,2,F,White,No degree,None,45-54,4.68,50,1
199,14,2,F,Asian / Asian British,No degree,None,35-44,10.59,81,1
200,14,2,F,White,Undergrad,None,25-34,0.86,31,0.5
201,14,2,F,White,No degree,None,35-44,3.51,63,1
202,14,2,F,White,No degree,None,<25,3.52,59,1
203,14,2,F,White,Undergrad,Deaf or hard of hearing,45-54,3.05,76,1
204,14,2,F,White,Undergrad,None,35-44,4.73,55,1
205,14,2,M,White,No degree,None,55-64,14.58,50,1
206,14,2,M,White,Undergrad,None,35-44,6.06,49,1
207,14,2,F,White,Undergrad,None,45-54,9.52,56,1
208,14,2,F,White,Undergrad,None,35-44,4.2,48,1
209,14,2,M,White,Undergrad,None,35-44,8.42,65,1
210,14,2,M,White,Undergrad,None,35-44,3.27,66,1
211,14,2,M,White,Undergrad,None,35-44,5.82,62,1
212,14,2,F,White,Undergrad,None,45-54,4.73,79,1
213,15,2,F,White,Undergrad,None,35-44,1.59,60,1
214,15,2,F,White,No degree,None,35-44,9.43,55,0.8
215,15,2,F,White,Undergrad,None,35-44,1.65,48,1
216,15,2,M,White,Undergrad,None,35-44,7.62,54,1
217,15,2,F,White,Undergrad,None,35-44,6.66,46,1
218,15,2,F,White,Undergrad,None,45-54,4.63,51,1
219,15,2,F,White,Undergrad,None,35-44,1.97,58,1
220,15,2,F,Black / African / Caribbean / Black British,No degree,None,35-44,7.69,58,1
221,15,2,M,White,Undergrad,None,35-44,4.71,54,1
222,15,2,M,White,Undergrad,None,55-64,10.28,43,0.6
223,15,2,F,White,Undergrad,None,35-44,3.29,41,0.8
224,15,2,F,White,Undergrad,None,35-44,2.7,60,1
225,15,2,M,White,Undergrad,None,45-54,5.24,44,1
226,16,2,M,White,Undergrad,None,35-44,3.91,57,1
227,16,2,F,White,No degree,None,35-44,3.21,7,0.2
228,16,2,F,White,No degree,None,35-44,8.67,40,1
229,16,2,M,White,No degree,None,35-44,2.77,61,1
230,16,2,F,White,Undergrad,None,<25,2.02,54,1
231,16,2,F,Asian / Asian British,Undergrad,None,25-34,5.56,15,0.3
232,16,2,F,White,Undergrad,None,35-44,4.66,40,1
233,16,2,F,White,Undergrad,None,45-54,3.7,48,1
234,16,2,M,White,Undergrad,None,25-34,3.28,59,1
235,16,2,F,White,Undergrad,None,35-44,2.25,50,1
236,16,2,F,White,Undergrad,None,45-54,3.56,16,0.4
237,16,2,M,White,No degree,None,45-54,2.02,52,0.8
238,16,2,F,White,Undergrad,None,25-34,1.78,14,0.4
239,16,2,M,White,No degree,None,35-44,5.59,50,1
240,16,2,PN,White,Undergrad,None,25-34,5.31,18,0.3
241,16,2,F,White,No degree,None,45-54,1.2,38,1
242,16,2,M,White,Undergrad,None,45-54,5.54,48,1
243,16,2,M,White,Undergrad,None,25-34,2.92,44,1
244,16,2,M,Asian / Asian British,Undergrad,None,35-44,3.1,50,1
245,17,2,M,White,No degree,None,35-44,0.73,50,1
246,17,2,F,White,No degree,None,25-34,3.01,55,1
247,17,2,F,White,No degree,None,45-54,3.92,47,1
248,17,2,M,White,No degree,None,35-44,6.68,40,1
249,17,2,F,Black / African / Caribbean / Black British,No degree,None,35-44,9.77,65,1
250,17,2,M,White,No degree,None,45-54,4.91,60,1
251,17,2,M,White,No degree,None,35-44,4.19,54,1
252,17,2,F,White,Undergrad,None,35-44,1.8,47,1
253,17,2,F,White,No degree,None,45-54,6.89,56,1
254,17,2,F,White,Undergrad,None,25-34,3.87,49,1
255,17,2,F,White,Undergrad,None,35-44,6.42,54,1
256,17,2,F,White,Undergrad,None,45-54,4.75,47,1
257,17,2,M,White,Undergrad,None,35-44,6.13,50,1
258,17,2,M,White,Postgrad,None,25-34,3.64,51,1
259,18,2,F,White,No degree,None,35-44,2.2,28,0.8
260,18,2,M,White,No degree,None,35-44,1.69,42,1
261,18,2,F,White,Undergrad,None,35-44,6.24,47,1
262,18,2,F,White,Undergrad,Autism spectrum disorder,55-64,6.38,55,1
263,18,2,F,White,Undergrad,None,35-44,2.12,51,1
264,18,2,M,White,No degree,None,35-44,3.3,27,0.6
265,18,2,F,White,No degree,None,35-44,3.98,49,1
266,18,2,F,White,Undergrad,None,25-34,5.03,46,1
267,18,2,F,White,Undergrad,None,25-34,0.99,45,1
268,18,2,F,White,Undergrad,Mental health conditions,<25,2.55,47,1
269,18,2,F,White,No degree,None,35-44,5.73,18,0.4
270,18,2,F,White,No degree,None,45-54,9.28,53,1
271,18,2,M,White,Undergrad,None,55-64,8.02,37,1
272,18,2,F,White,Undergrad,None,35-44,5.52,50,1
273,18,2,M,White,No degree,None,45-54,10.84,24,0.6
274,19,2,F,White,No degree,None,35-44,2.51,40,0.5
275,19,2,F,White,No degree,None,45-54,8.46,79,1
276,19,2,M,White,Undergrad,None,<25,0.67,101,1
277,19,2,F,White,Undergrad,None,25-34,3.17,49,0.8
278,19,2,F,White,Undergrad,None,25-34,2.77,64,1
279,19,2,M,White,Undergrad,Vision Impairment,<25,3.72,80,1
280,19,2,F,White,No degree,None,35-44,4.99,91,1
281,19,2,M,White,Undergrad,None,45-54,3.91,78,1
282,19,2,M,White,Undergrad,None,35-44,4.24,88,1
283,19,2,F,White,No degree,None,45-54,6.64,70,1
284,19,2,F,White,Undergrad,None,<25,3.94,72,1
285,19,2,M,White,Undergrad,None,55-64,6.99,82,1
286,19,2,F,White,No degree,None,35-44,6.4,79,1
287,19,2,F,White,No degree,None,45-54,3.5,84,1
288,19,2,F,White,No degree,None,45-54,5.85,69,1
289,19,2,F,White,Undergrad,None,35-44,2.76,76,1
290,20,2,F,White,Undergrad,None,35-44,3.23,48,1
291,20,2,M,White,Undergrad,None,35-44,2.97,36,1
292,20,2,F,White,No degree,None,35-44,10.52,44,1
293,20,2,F,White,No degree,None,45-54,4.38,15,0.3
294,20,2,F,White,No degree,None,35-44,7.31,31,0.8
295,20,2,F,White,No degree,None,45-54,16.86,18,0.4
296,20,2,F,White,Undergrad,None,35-44,9.56,43,1
297,20,2,F,White,No degree,None,35-44,4.1,57,1
298,20,2,M,White,No degree,None,35-44,6.29,47,1
299,20,2,F,White,Undergrad,None,35-44,4.12,67,1
300,20,2,M,White,Undergrad,None,25-34,3.42,39,1
301,20,2,F,White,Undergrad,None,35-44,5.26,15,0.4
302,20,2,F,Asian / Asian British,Undergrad,None,35-44,2.15,34,1
303,21,2,F,White,Undergrad,None,25-34,2.13,61,1
304,21,2,F,Black / African / Caribbean / Black British,No degree,None,35-44,9.63,66,1
305,21,2,F,White,No degree,None,25-34,5.9,11,0.2
306,21,2,F,White,Undergrad,None,35-44,5.67,22,0.3
307,21,2,F,White,No degree,None,35-44,4.04,42,0.8
308,21,2,F,White,Undergrad,None,<25,1.94,54,1
309,21,2,M,White,No degree,None,25-34,4.3,65,1
310,21,2,F,White,Undergrad,None,35-44,4.8,35,0.6
311,21,2,F,White,Undergrad,None,35-44,5.75,57,1
312,21,2,F,White,Undergrad,None,35-44,4.55,49,1
313,21,2,F,White,Undergrad,None,35-44,5.24,60,1
314,21,2,M,White,No degree,Deaf or hard of hearing,25-34,5.88,62,1
315,21,2,F,White,Undergrad,Intellectual disability,25-34,2.52,62,1
316,21,2,M,White,Undergrad,None,55-64,7.51,60,1
317,22,2,F,White,No degree,None,25-34,5.21,45,1
318,22,2,F,White,Undergrad,None,35-44,2.92,21,0.5
319,22,2,M,Black / African / Caribbean / Black British,Undergrad,None,35-44,6.08,46,1
320,22,2,F,White,Undergrad,None,<25,2.36,54,1
321,22,2,F,White,Undergrad,None,35-44,1.65,68,1
322,22,2,F,White,No degree,None,35-44,5.12,45,1
323,22,2,F,White,Undergrad,None,45-54,4.88,59,1
324,22,2,F,White,No degree,None,25-34,1.38,51,1
325,22,2,F,White,Undergrad,None,<25,2.7,32,1
326,22,2,F,White,Undergrad,None,35-44,5.15,25,0.4
327,22,2,F,White,Undergrad,None,35-44,3.29,52,1
328,22,2,M,Asian / Asian British,Undergrad,None,55-64,8.01,60,1
329,22,2,F,Black / African / Caribbean / Black British,No degree,None,35-44,3.83,44,1
330,22,2,F,White,No degree,None,45-54,11.06,45,1
331,22,2,F,White,Undergrad,None,35-44,1.38,55,1
332,22,2,F,White,No degree,None,45-54,5.24,55,1
333,23,2,F,White,PhD,None,45-54,5.84,55,1
334,23,2,F,White,Undergrad,None,35-44,2.76,27,0.5
335,23,2,F,White,Undergrad,None,35-44,4.36,68,1
336,23,2,F,White,Undergrad,None,25-34,5.09,71,1
337,23,2,M,White,PhD,None,35-44,5.01,62,1
338,23,2,F,White,Postgrad,None,45-54,11.39,72,1
339,23,2,F,White,PhD,None,25-34,3.53,46,1
340,23,2,F,White,Undergrad,None,35-44,1.2,38,0.6
341,23,2,M,White,No degree,None,45-54,2.16,56,1
342,23,2,F,White,Undergrad,None,35-44,6.28,19,0.4
343,23,2,F,White,Undergrad,None,45-54,1.91,56,1
344,23,2,F,White,Undergrad,None,35-44,2.21,52,1
345,24,2,M,White,No degree,Vision Impairment,35-44,0.9,72,1
346,24,2,M,White,Undergrad,None,<25,0.74,84,1
347,24,2,M,White,Undergrad,None,45-54,4.64,62,1
348,24,2,F,White,Undergrad,None,25-34,3.46,60,1
349,24,2,M,White,Undergrad,None,25-34,5.91,54,1
350,24,2,M,Asian / Asian British,Undergrad,None,25-34,4.53,68,1
351,24,2,F,White,Undergrad,None,35-44,4.03,73,1
352,24,2,F,White,Undergrad,None,25-34,2.55,83,1
353,24,2,M,White,Undergrad,None,25-34,0.94,65,1
354,24,2,M,White,No degree,None,45-54,9.75,68,1
355,24,2,F,Mixed / Multiple ethnic groups,Undergrad,None,35-44,2.71,74,1
356,24,2,F,White,Undergrad,None,35-44,3.43,95,1
357,24,2,F,Asian / Asian British,Undergrad,None,25-34,5.83,71,1
358,24,2,M,White,Undergrad,None,35-44,3.8,69,1
359,24,2,F,White,Undergrad,None,55-64,5.84,101,1
360,25,2,F,White,No degree,None,35-44,9.83,11,0.2
361,25,2,F,White,Undergrad,None,55-64,6.53,70,1
362,25,2,M,Asian / Asian British,Undergrad,None,25-34,5.96,53,1
363,25,2,F,White,Undergrad,None,35-44,4.94,47,0.8
364,25,2,M,White,No degree,None,35-44,4.57,10,0.2
365,25,2,F,White,Undergrad,None,55-64,14.34,75,1
366,25,2,F,White,No degree,None,35-44,3.28,56,0.8
367,25,2,F,White,Undergrad,None,35-44,2.42,59,1
368,25,2,M,White,No degree,None,45-54,2.48,70,1
369,25,2,F,White,Undergrad,None,35-44,3.63,54,1
370,25,2,M,White,Undergrad,None,35-44,1.89,34,0.6
371,25,2,M,White,No degree,None,35-44,6.29,69,1
372,25,2,F,Black / African / Caribbean / Black British,No degree,None,45-54,9.07,61,1
373,26,2,F,White,No degree,None,25-34,3.66,56,1
374,26,2,F,White,Undergrad,None,25-34,5.72,44,1
375,26,2,F,White,No degree,None,35-44,5.5,49,1
376,26,2,M,White,No degree,None,45-54,18.02,61,1
377,26,2,F,Asian / Asian British,No degree,None,45-54,6,53,1
378,26,2,F,White,Undergrad,None,35-44,7.76,48,1
379,26,2,F,White,Undergrad,None,25-34,3.36,59,1
380,26,2,F,White,Undergrad,None,<25,2.33,42,1
381,26,2,M,White,Undergrad,None,55-64,1.85,50,1
382,26,2,M,White,Undergrad,None,45-54,15.28,38,0.8
383,26,2,F,White,No degree,None,35-44,5.32,63,1
384,26,2,M,White,Undergrad,None,45-54,8.62,41,1
385,26,2,M,White,No degree,None,35-44,3.28,59,1
386,26,2,F,White,No degree,None,35-44,4.05,61,1
387,26,2,F,White,Postgrad,None,35-44,3.9,44,1
388,26,2,M,Asian / Asian British,Undergrad,None,55-64,4.98,50,1
389,27,2,M,White,No degree,None,35-44,4.74,51,0.8
390,27,2,F,White,Undergrad,None,35-44,4.96,49,1
391,27,2,F,Black / African / Caribbean / Black British,No degree,None,35-44,2.04,74,1
392,27,2,M,White,Undergrad,Intellectual disability,35-44,8.92,53,1
393,27,2,F,White,Undergrad,None,45-54,13.72,75,1
394,27,2,F,White,Undergrad,None,<25,3.26,82,1
395,27,2,M,White,Undergrad,None,35-44,2.04,75,1
396,27,2,F,White,Undergrad,None,35-44,2.9,14,0.2
397,27,2,M,Asian / Asian British,Undergrad,None,45-54,5.57,69,1
398,27,2,F,White,No degree,None,35-44,3.53,61,1
399,27,2,F,White,Undergrad,None,35-44,2.48,73,1
400,27,2,M,White,Undergrad,None,35-44,3.15,82,1
401,27,2,M,White,Undergrad,None,35-44,6.55,76,1
402,27,2,M,White,Undergrad,None,25-34,5.27,68,1
403,28,2,M,White,Undergrad,None,35-44,3.48,75,1
404,28,2,F,White,No degree,None,35-44,2.27,76,1
405,28,2,M,White,No degree,None,35-44,2.89,31,0.5
406,28,2,F,White,Undergrad,None,35-44,4.18,56,0.8
407,28,2,F,White,Undergrad,None,45-54,5.85,62,1
408,28,2,M,White,No degree,None,<25,3.08,60,1
409,28,2,F,White,No degree,None,45-54,1.06,65,1
410,28,2,M,White,Undergrad,None,35-44,5.72,61,1
411,28,2,F,White,Undergrad,None,35-44,2.06,79,1
412,28,2,M,White,Postgrad,None,45-54,7.8,58,1
413,28,2,F,Black / African / Caribbean / Black British,Undergrad,None,45-54,9.45,82,1
414,28,2,F,White,No degree,None,25-34,3.65,65,1
415,28,2,F,White,No degree,None,45-54,6.61,69,1
416,28,2,F,Asian / Asian British,Undergrad,None,35-44,2.18,60,1
417,28,2,F,Asian / Asian British,No degree,None,35-44,3.35,59,1
418,28,2,F,White,Undergrad,None,25-34,5.66,61,1
419,28,2,F,White,Undergrad,None,35-44,2.37,71,1
420,29,2,F,White,Undergrad,None,25-34,4.18,57,1
421,29,2,M,White,No degree,None,35-44,6.46,63,1
422,29,2,M,White,Undergrad,None,<25,3.06,53,1
423,29,2,SI,White,Postgrad,None,35-44,2.6,58,1
424,29,2,F,White,Undergrad,None,35-44,2.37,76,1
425,29,2,M,White,Undergrad,None,45-54,14.24,72,1
426,29,2,F,Asian / Asian British,No degree,None,<25,3.92,53,1
427,29,2,M,White,PhD,None,55-64,5.95,10,0.2
428,29,2,F,White,No degree,None,35-44,1.4,43,0.7
429,29,2,M,White,Undergrad,None,35-44,7.36,61,1
430,29,2,M,White,Undergrad,None,35-44,1.95,78,1
431,29,2,F,White,Undergrad,None,35-44,4.87,69,1
432,29,2,F,White,Undergrad,None,35-44,4.32,14,0.2
433,29,2,M,White,No degree,Intellectual disability,35-44,2.79,73,1
434,29,2,F,White,No degree,None,45-54,6.46,13,0.2
435,30,2,F,White,No degree,None,25-34,2.42,53,1
436,30,2,F,Asian / Asian British,No degree,None,<25,1.39,57,1
437,30,2,F,Asian / Asian British,No degree,None,25-34,5.42,51,1
438,30,2,M,White,No degree,None,45-54,8.04,55,1
439,30,2,F,White,Undergrad,None,45-54,10.86,54,1
440,30,2,F,White,Undergrad,None,35-44,6.83,57,1
441,30,2,M,White,Undergrad,None,35-44,4.25,31,0.6
442,30,2,F,White,No degree,Deaf or hard of hearing,25-34,2.27,67,1
443,30,2,M,White,Undergrad,None,55-64,2.82,63,1
444,30,2,F,White,Undergrad,None,25-34,5.35,51,1
445,30,2,M,White,Undergrad,None,45-54,9.26,44,1
446,30,2,F,White,Undergrad,None,35-44,1.81,60,1
447,30,2,M,White,Undergrad,None,35-44,5,43,1
448,31,2,F,White,Undergrad,None,35-44,6.18,70,1
449,31,2,F,Asian / Asian British,Undergrad,None,35-44,2.84,11,0.2
450,31,2,F,White,No degree,Acquired brain injury,35-44,1.55,52,1
451,31,2,F,White,Undergrad,None,35-44,4.92,16,0.3
452,31,2,F,White,No degree,None,25-34,5.43,88,1
